Time(s)	EEG_Hz	EMG_mV
0	16.8	0.34
1	15.9	0.36
2	14.7	0.33
3	13.5	0.31
4	14.1	0.30
5	13.9	0.32
6	12.8	0.28
7	11.6	0.26
8	10.2	0.24
9	9.5	0.23
10	8.8	0.21
11	7.6	0.20
12	6.4	0.18
13	5.8	0.17
14	5.1	0.15
15	4.7	0.13
16	4.2	0.12
17	3.8	0.10
18	3.3	0.09
19	3.0	0.09
20	2.9	0.08
21	2.8	0.07
22	2.6	0.06
23	2.4	0.06
24	2.3	0.05
25	2.2	0.05
26	2.1	0.05
27	2.0	0.05
28	1.9	0.05
29	2.0	0.05
30	6.5	0.04
31	7.0	0.03
32	7.4	0.03
33	8.0	0.02
34	8.6	0.02
35	9.2	0.02
36	9.8	0.02
37	10.1	0.02
38	9.7	0.02
39	8.9	0.02
40	9.4	0.02
41	9.9	0.02
42	8.7	0.02
43	7.8	0.02
44	8.0	0.02
45	9.3	0.02
46	9.7	0.02
47	9.9	0.02
48	10.2	0.02
49	9.5	0.02
50	5.8	0.03
51	6.0	0.04
52	6.4	0.05
53	6.9	0.06
54	7.5	0.07
55	8.1	0.08
56	9.2	0.10
57	10.3	0.12
58	11.7	0.15
59	13.0	0.18
60	14.2	0.21
